rxn_id,reaction_balance_status,reaction_direction
|RXN-18245|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-366|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|VCREDCHLOR-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-20546|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.4.1.94-RXN|,|BALANCED|,
|RXN-15716|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17352|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21527|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14445|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-19474|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|ARYLSULFATE-SULFOTRANSFERASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-14778|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-18889|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11907|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13757|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21343|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.21.4-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10042|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-5409|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21706|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18724|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN18C3-41|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22071|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7580|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1G-309|,|BALANCED|,|LEFT-TO-RIGHT|
|R361-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20375|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13376|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17506|,|BALANCED|,
|2.3.1.168-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-8487|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17826|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10895|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14919|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19453|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21945|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|IMIDAZOLEACETATE-4-MONOOXYGENASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9103|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|3.4.23.40-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13365|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-13182|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|4.4.1.19-RXN|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-22584|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1UA-63|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21689|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-10732|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-6684|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16393|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18003|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN1G-279|,|BALANCED|,|LEFT-TO-RIGHT|
|TRANS-RXN-321|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20895|,|BALANCED|,|REVERSIBLE|
|RXN-13887|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|LEUKOTRIENE-C4-SYNTHASE-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|1.7.2.3-RXN|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-8948|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12244|,|BALANCED|,|LEFT-TO-RIGHT|
|2.1.1.120-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|ACETYLESTERASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19435|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16208|,|BALANCED|,|REVERSIBLE|
|ORCINOL-2-MONOOXYGENASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9640|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21072|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13267|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13727|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8018|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-19328|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12408|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21672|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
