rxn_id,reaction_balance_status,reaction_direction
|RXN-14519|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13627|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21670|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-720|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18956|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12002|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1.14.13.99-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1G-202|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17430|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10112|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN0-6565|,|BALANCED|,|REVERSIBLE|
|DEHYDDEOXGALACTKIN-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|1.2.2.3-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-14834|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22141|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7668|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|RXN-19099|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19079|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.21.99-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19410|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15001|,|BALANCED|,|REVERSIBLE|
|RXN-16639|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-13036|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1F-167|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13467|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.24.59-RXN|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10632|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21654|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20435|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-10961|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN2DNV-8|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22286|,|BALANCED|,|REVERSIBLE|
|RXN1G-138|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17912|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9190|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18072|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19627|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12908|,|BALANCED|,|REVERSIBLE|
|KETOGLUTREDUCT-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-22667|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15522|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11101|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21638|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|6-HYDROXYHEXANOATE-OXIDATION-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16473|,|BALANCED|,
|MALEATE-ISOMERASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-9367|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1G-1003|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-20979|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13946|,|BALANCED|,|LEFT-TO-RIGHT|
|AGMATINE-DEIMINASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22824|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18689|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12325|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.1.3.1-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-21169|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14093|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21621|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|PGLYCDEHYDROG-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-9746|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-18528|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|2.4.1.188-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-747|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-8119|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16991|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-12484|,|BALANCED|,|REVERSIBLE|
|RXN-9902|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18543|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15356|,|BALANCED|,|LEFT-TO-RIGHT|
|3.1.26.7-RXN|,|UNDETERMINED|,|PHYSIOL-LEFT-TO-RIGHT|
|PSERTRANSAM-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-17151|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12122|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12823|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19990|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8304|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14581|,|BALANCED|,
|RXN-21602|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXNARA-8002|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-11424|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21786|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-RIGHT-TO-LEFT|
|3.2.1.47-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-6385|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8600|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|GALACTOLIPASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12984|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20152|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-18434|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18377|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-4310|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|SORBOSE-5-DEHYDROGENASE-NADP+-RXN|,|BALANCED|,
|RXN-17631|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11785|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15886|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20533|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8757|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11577|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|RXN-21421|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|CATECHOL-O-METHYLTRANSFERASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14435|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16053|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|GLYCINE-AMINOTRANSFERASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN0-20|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|URONOLACTONASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11895|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1.13.11.41-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-5143|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17974|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21515|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-5364|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|CYSTEINE--TRNA-LIGASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20674|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11476|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-18877|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7564|,|BALANCED|,|REVERSIBLE|
|RXN-19012|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12061|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21204|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10029|,|BALANCED|,
|RXN-17489|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16528|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN0-7022|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9730|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22061|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14900|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10439|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7763|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17824|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-13346|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.23.28-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-2221|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15058|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-11177|,|UNDETERMINED|,|LEFT-TO-RIGHT|
|RXN-10884|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN1P3V-74|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19533|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12558|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-21125|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9086|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17978|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13527|,|BALANCED|,|RIGHT-TO-LEFT|
|3.5.2.18-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-9652|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16374|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|LACTOYL-COA-DEHYDRATASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-1102|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN4FS-13|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17474|,|BALANCED|,
|RXN-13875|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|ACETOLACTATE-DECARBOXYLASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-9246|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-18136|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10676|,|BALANCED|,|LEFT-TO-RIGHT|
|2.1.1.100-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21054|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22739|,|BALANCED|,|REVERSIBLE|
|RXN-15586|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21106|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9624|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12395|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14001|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|METHTRANSBARK-RXN|,|BALANCED|,
|RXN-9555|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19315|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|PHOSPHORIBOKINASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.3.1.45-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|ALLENE-OXIDE-CYCLASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17237|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16890|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8208|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9829|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21235|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10026|,|BALANCED|,
|3-OH-BENZALDEHYDE-DEHYDROG-NADP+-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-21584|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17065|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18612|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-20997|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22576|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15417|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.11.1.3-RXN|,|BALANCED|,
|R10-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-9533|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-19895|,|BALANCED|,|REVERSIBLE|
|RXN-12889|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20060|,|UNBALANCED-UNFIXABLE|,
|RXN-8368|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17168|,|BALANCED|,
|RXN-11349|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXNQT-4344|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17551|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21855|,|BALANCED|,|REVERSIBLE|
|PROTEIN-TYROSINE-SULFOTRANSFERASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|F16ALDOLASE-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-8677|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11489|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-13069|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-20865|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-3585|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18446|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|GLUCONATE-DEHYDRATASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|SULFATE-ADENYLYLTRANSFERASE-ADP-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-9101|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14345|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-15958|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-4725|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-8819|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|UBIQUITIN--CALMODULIN-LIGASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11796|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|1.1.1.248-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-20590|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16111|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17059|,|UNBALANCED-UNFIXABLE|,|LEFT-TO-RIGHT|
|RXN0-5074|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|CHONDRO-4-SULFATASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14497|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13603|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|MYRPALMTRAN-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-713|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18936|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11975|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1.14.13.73-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20688|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17406|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10095|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-6521|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|DAPASYN-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-8126|,|BALANCED|,|REVERSIBLE|
|RXN-14818|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-22119|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7647|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-19081|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|SULFITE-DEHYDROGENASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|3.4.21.84-RXN|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13445|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14980|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16597|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16990|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN1F-10|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-10943|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.24.43-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10616|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|IRON--CYTOCHROME-C-REDUCTASE-RXN|,|BALANCED|,
|RXN-20418|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-9174|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN2DNV-26|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22270|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20481|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17884|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-22634|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18054|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19601|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7101|,|BALANCED|,|LEFT-TO-RIGHT|
|ITACONYL-COA-HYDRATASE-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-16444|,|BALANCED|,
|LYSINE-CARBAMOYLTRANSFERASE-RXN|,|BALANCED|,
|RXN-11082|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN66-637|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|5.4.1.2-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-13930|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|ADENPHOSPHOR-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-9348|,|BALANCED|,
|RXN-16906|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20951|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|2.1.1.72-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21153|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22807|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|GALACTONOLACTONE-DEHYDROGENASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12302|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-9725|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-18509|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14076|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20463|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|PENTANAMIDASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19396|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12461|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|2.4.1.153-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22926|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8081|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16970|,|BALANCED|,|LEFT-TO-RIGHT|
|PROSTAGLANDIN-D-SYNTHASE-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-9886|,|BALANCED|,|REVERSIBLE|
|RXN66-621|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-15333|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.1.21.6-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8287|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-17124|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16835|,|BALANCED|,|REVERSIBLE|
|RXN-12802|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19972|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21770|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14557|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|DEPHOSPHO-REDUCTASE-KINASE-KINASE-RXN|,|UNDETERMINED|,
|RXN6666-5|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11409|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-15495|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.2.1.18-RXN|,|UNDETERMINED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20318|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8583|,|BALANCED|,|LEFT-TO-RIGHT|
|FUCISOM-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-12959|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-20128|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22837|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18356|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-4231|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|SERINE--TRNA-LIGASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17611|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16028|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15843|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20516|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-8735|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-11560|,|UNDETERMINED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN66-589|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|CARNDETRU-RXN|,|BALANCED|,|REVERSIBLE|
|RXN-14418|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-16034|,|BALANCED|,|REVERSIBLE|
|GLYC3PDEHYDROGBIOSYN-RXN|,|BALANCED|,|PHYSIOL-RIGHT-TO-LEFT|
|RXN-16723|,|BALANCED|,|LEFT-TO-RIGHT|
|URACIL-PRIBOSYLTRANS-RXN|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-11867|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|1.1.99.28-RXN|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-5082|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|BIOTINLIG-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-21493|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-5240|,|BALANCED|,|REVERSIBLE|
|CYCLOHEXANE-13-DIONE-HYDROLASE-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20658|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-20287|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-18846|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7441|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-18996|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-12044|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-22662|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10001|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-17466|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-10422|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN0-6985|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15917|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-22045|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-14875|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN-22189|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-7741|,|BALANCED|,|RIGHT-TO-LEFT|
|RXN2B4Q-48|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-13327|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|3.4.23.1-RXN|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-19515|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-15041|,|BALANCED|,|PHYSIOL-LEFT-TO-RIGHT|
|RXN-16636|,|BALANCED|,|LEFT-TO-RIGHT|
|RXN-10868|,|UNBALANCED-UNFIXABLE|,|PHYSIOL-LEFT-TO-RIGHT|
