|RXN0-6510_REV|
|RXN-12184|
|RXN-13106|
|3.4.21.2-RXN|
|RXN-19755|
|RXN-22386|
|RXN0-5124|
|RXN0-5330-YEAST|
|RXN-22721_REV|,rule0064,rule0772
|RXN-14153|
|RXN-10002|,rule0286
|RXN-17951|
|RXN-8430|,rule0259
|RXN-20099|
|RXN-13967|
|RXN-12148|
|RXN-9092|
|RXN-12843|
|3.2.1.102-RXN|
|RXN-12335_REV|
|RXN-5962|
|RXN-14869|
|RXN-21452|
|2.4.1.165-RXN|
|ADCLY-RXN|
|RXN-22063|,rule0057,rule0223,rule0377,rule0485,rule1136
|RXN-22811|
|RXN-18223|
|RXNQT-4325|
|RXN-13982|
|RXN-16879|,rule0042,rule0076,rule0283
|RXN-13166|,rule0074
|RXN-8965|,rule0020,rule0460
|RXN-13888|
