cpd00001,|OH|,|OXONIUM|,|WATER|
cpd00155
cpd00156,|VAL|
cpd00157,|DIHYDROXYACETONE|
cpd00158,|CPD-15975|
cpd00159,|L-LACTATE|
cpd00160,|CHOLESTEROL|
cpd00161,|THR|
cpd00162,|ETHANOL-AMINE|
cpd00163,|UDP-D-XYLOSE|
cpd00164,|CPD-15530|,|D-GLUCOPYRANURONATE|
cpd00165,|HYDROXYLAMINE|
cpd00166,|ADENOSYLCOBALAMIN|
cpd00167,|N-ACYLSPHINGOSINE|
cpd00168,|2-3-DIHYDROXYBENZOATE|
cpd00169,|G3P|
cpd00170,|GLC-D-LACTONE|
cpd00171,|RIBULOSE-5P|
cpd00172,|PMS|
cpd00173,|PURINE-RIBONUCLEOSIDES-5-PPP|
cpd00174,|DIISOPROPYL-FLUOROPHOSPHATE|
cpd00175,|UDP-N-ACETYL-GALACTOSAMINE|
cpd00176,|2-DEHYDRO-3-DEOXY-D-GLUCONATE|
cpd00177,|DADP|
cpd00178,|ACETONE|
cpd00179,|CPD-15717|,|MALTOSE|
cpd00180,|OXALATE|
cpd00181
cpd00182,|ADENOSINE|
cpd00183,|SARCOSINE|
cpd00184,|THYMIDINE|
cpd00185,|D-ARABINOPYRANOSE|
cpd00186,|D-GLT|
cpd00187,|METHYLAMINE|
cpd00188,|ARACHIDONIC_ACID|
cpd00189
cpd00190,|B-XGLC-HEX-1|
cpd00191,|MALONATE-S-ALD|
cpd00192,|P-COUMAROYL-COA|
cpd00193,|APS|
cpd00194
cpd00195
cpd00196,|ACETYL-P|
cpd00197,|3-4-DIHYDROXYBENZOATE|
cpd00198,|XYLULOSE-5-PHOSPHATE|
cpd00199,|SUCC-S-ALD|
cpd00200,|2K-4CH3-PENTANOATE|
cpd00201,|10-FORMYL-THF|
cpd00202,|CPD-4211|
cpd00203,|DPG|
cpd00204,|CARBON-MONOXIDE|
cpd00205,|K+|
cpd00206,|DCMP|
cpd00207,|GUANINE|
cpd00208,|ALPHA-LACTOSE|,|CPD-15972|,|LACTOSE|
cpd00209,|CPD-15028|,|NITRATE|
cpd00210,|TAURINE|
cpd00211,|BUTYRIC_ACID|
cpd00212,|CPD-9569|
cpd00213,|LIPOAMIDE|
cpd00214,|PALMITATE|
cpd00215,|PYRIDOXAL|
cpd00216,|CHORISMATE|
cpd00217,|CPD-1243|,|ISOMALTOSE|
cpd00218,|NIACINE|
cpd00219,|PREPHENATE|
cpd00220,|RIBOFLAVIN|,|X-DRIB-PEN-1|
cpd00221,|D-LACTATE|
cpd00222,|GLUCONATE|
cpd00223,|GLYCERATE|
