2.1.1.128-RXN,rule0010_24
2.1.1.128-RXN_reverse,rule0011_26
RXN-9334
RXN-9334_reverse
RXN-9822,rule0001_35
RXN-9822_reverse,rule0001_28
RXN-12702,rule0038_2
RXN-12702_reverse,rule0039_02
RXN-5112
RXN-5112_reverse
RXN-15611
RXN-15611_reverse
RXN-13134,rule0052_2
RXN-13134_reverse,rule0054_1
RXN-10811
RXN-10811_reverse
RXN0-6256
RXN0-6256_reverse
RXN-16112,rule0003_003
RXN-16112_reverse,rule0002_003
RXN-10011,rule0017_31
RXN-10011_reverse,rule0016_097
ACETCAPR-RXN,rule0031_3
ACETCAPR-RXN_reverse,rule0030_09
RXN-16545,rule0010_56
RXN-16545_reverse,rule0011_40
2.1.1.70-RXN,rule0010_42
2.1.1.70-RXN_reverse,rule0011_46
TRANS-RXN-169,rule0057_1
TRANS-RXN-169_reverse,rule0058_2
CARNOSINE-SYNTHASE-RXN,rule0049_18
CARNOSINE-SYNTHASE-RXN_reverse,rule0050_20
RXN-9857,rule0189_1
RXN-9857_reverse,rule0138_1
2.7.7.35-RXN
2.7.7.35-RXN_reverse
RXN-5424,rule0002_147
RXN-5424_reverse,rule0003_170
RXN-13177
RXN-13177_reverse,rule0013_65
FLAVONE-APIOSYLTRANSFERASE-RXN,rule0001_82
FLAVONE-APIOSYLTRANSFERASE-RXN_reverse,rule0001_41
RXN66-337
RXN66-337_reverse,rule0013_49
RXN-13686,rule0003_035
RXN-13686_reverse,rule0002_036
RXN-16589
RXN-16589_reverse
RXN-14091,rule0035_2
RXN-14091_reverse,rule0032_14
RXN-11685
RXN-11685_reverse
2.8.2.27-RXN,rule0047_1
2.8.2.27-RXN_reverse,rule0048_5
THYM-PHOSPH-RXN,rule0098_2
THYM-PHOSPH-RXN_reverse,rule0099_3
RXN-7784,rule0003_028
RXN-7784_reverse,rule0002_032
RXN-17110,rule0020_02
RXN-17110_reverse,rule0019_02
RXN-14614,rule0006_094,rule0006_109
RXN-14614_reverse,rule0007_021
RXN-11278
RXN-11278_reverse,rule0256_1
1.1.1.145-RXN,rule0003_036
1.1.1.145-RXN_reverse,rule0002_033
FUCPALDOL-RXN,rule0051_15
FUCPALDOL-RXN_reverse,rule0053_05
RXN66-479,rule0026_08
RXN66-479_reverse,rule0025_23
KDO-8PSYNTH-RXN
KDO-8PSYNTH-RXN_reverse
RXN-14136,rule0006_126,rule0124_32,rule0604_2
RXN-14136_reverse,rule0007_138,rule0125_5
RXN-8766
RXN-8766_reverse
RXN-11727,rule0164_2
RXN-11727_reverse,rule0165_2
RXN-12153,rule0303_1
RXN-12153_reverse,rule0302_1
TRE6PHYDRO-RXN,rule0006_009
TRE6PHYDRO-RXN_reverse,rule0007_043
OXALOMALATE-LYASE-RXN,rule0051_01,rule0051_08
OXALOMALATE-LYASE-RXN_reverse,rule0053_03
RXN-14661,rule0010_41
RXN-14661_reverse,rule0011_32
RXN-9237,rule0010_20
RXN-9237_reverse,rule0011_10
