RXN-5112_reverse,rule0533
RXN-15611
RXN-15611_reverse
RXN-13134,rule0052
RXN-13134_reverse,rule0054
RXN-10811
RXN-10811_reverse
RXN0-6256,rule0272
RXN0-6256_reverse,rule0272
RXN-16112,rule0003
RXN-16112_reverse,rule0002
RXN-10011,rule0017
RXN-10011_reverse,rule0016
ACETCAPR-RXN,rule0031
ACETCAPR-RXN_reverse,rule0030
RXN-16545,rule0010
RXN-16545_reverse,rule0011
2.1.1.70-RXN,rule0010
2.1.1.70-RXN_reverse,rule0011
TRANS-RXN-169,rule0057
TRANS-RXN-169_reverse,rule0058
CARNOSINE-SYNTHASE-RXN,rule0049
CARNOSINE-SYNTHASE-RXN_reverse,rule0050
RXN-9857,rule0189
RXN-9857_reverse,rule0138
2.7.7.35-RXN
2.7.7.35-RXN_reverse
RXN-5424,rule0002,rule0347
RXN-5424_reverse,rule0003,rule0348
RXN-7739
RXN-7739_reverse
RXN-13177,rule0012
RXN-13177_reverse,rule0013
FLAVONE-APIOSYLTRANSFERASE-RXN,rule0001
FLAVONE-APIOSYLTRANSFERASE-RXN_reverse,rule0001
RXN66-337,rule0012
RXN66-337_reverse,rule0013
RXN-13686,rule0003
RXN-13686_reverse,rule0002
RXN-16589,rule0133
RXN-16589_reverse,rule0134
RXN-14091,rule0035
RXN-14091_reverse,rule0032
RXN-11685,rule0262
RXN-11685_reverse,rule0263
2.8.2.27-RXN,rule0047
2.8.2.27-RXN_reverse,rule0048
THYM-PHOSPH-RXN,rule0098
THYM-PHOSPH-RXN_reverse,rule0099
RXN-7784,rule0003
RXN-7784_reverse,rule0002
RXN-17110,rule0020
RXN-17110_reverse,rule0019
RXN-14614,rule0006
RXN-14614_reverse,rule0007
RXN-11278,rule0255
RXN-11278_reverse,rule0256
1.1.1.145-RXN,rule0003
1.1.1.145-RXN_reverse,rule0002
FUCPALDOL-RXN,rule0051
FUCPALDOL-RXN_reverse,rule0053
RXN66-479,rule0026
RXN66-479_reverse,rule0025
KDO-8PSYNTH-RXN,rule0286
KDO-8PSYNTH-RXN_reverse,rule0287
RXN-14136,rule0006,rule0124,rule0604
RXN-14136_reverse,rule0007,rule0125,rule0605
RXN-8766
RXN-8766_reverse
RXN-11727,rule0164
RXN-11727_reverse,rule0165
RXN-12153,rule0303
RXN-12153_reverse,rule0302
TRE6PHYDRO-RXN,rule0006
TRE6PHYDRO-RXN_reverse,rule0007
OXALOMALATE-LYASE-RXN,rule0051
OXALOMALATE-LYASE-RXN_reverse,rule0053
RXN-14661,rule0010
RXN-14661_reverse,rule0011
RXN-9237,rule0010
RXN-9237_reverse,rule0011
1.1.1.250-RXN,rule0003
1.1.1.250-RXN_reverse,rule0002
RXN-15048,rule0003
RXN-15048_reverse,rule0002
RXN-17584,rule0279
RXN-17584_reverse,rule0280
RXN-12632,rule0281
RXN-12632_reverse,rule0282
L-GULONOLACTONE-OXIDASE-RXN,rule0078
L-GULONOLACTONE-OXIDASE-RXN_reverse,rule0074
RXN-15547,rule0030
RXN-15547_reverse,rule0031
3.1.4.11-RXN,rule0006,rule0124,rule0604
3.1.4.11-RXN_reverse,rule0007,rule0125,rule0605
RXN-8801,rule0169,rule0191
RXN-8801_reverse,rule0168,rule0190
RXN-18424
RXN-18424_reverse
RETINAL-DEHYDROGENASE-RXN,rule0026
RETINAL-DEHYDROGENASE-RXN_reverse,rule0025
RXN-12198
RXN-12198_reverse
6-CARBOXYHEXANOATE--COA-LIGASE-RXN,rule0038
6-CARBOXYHEXANOATE--COA-LIGASE-RXN_reverse,rule0039
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN,rule0003
PERILLYL-ALCOHOL-DEHYDROGENASE-RXN_reverse,rule0002
2.1.1.109-RXN,rule0010
2.1.1.109-RXN_reverse,rule0011
RXN-9304,rule0309
RXN-9304_reverse,rule0288
RXN-15088,rule0006
RXN-15088_reverse,rule0007
RXN-5062,rule0001
RXN-5062_reverse,rule0001
RXN-12682,rule0072
RXN-12682_reverse,rule0073
RXN-15588,rule0047
RXN-15588_reverse,rule0048
RXN-10779,rule0816
RXN-10779_reverse,rule0817
RXN0-5410,rule0002,rule0347
RXN0-5410_reverse,rule0003,rule0348
RXN-18466
RXN-18466_reverse
RXN-16061,rule0347
RXN-16061_reverse,rule0348
6.4.1.6-RXN
6.4.1.6-RXN_reverse
RXN-16526,rule0114
RXN-16526_reverse,rule0109
2.1.1.16-RXN,rule0545
2.1.1.16-RXN_reverse,rule0546
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN,rule0574
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN_reverse,rule0773
RXN-9840,rule0018
RXN-9840_reverse,rule0027
RXN-5242,rule0072
RXN-5242_reverse,rule0073
RXN-7694,rule0003,rule0753
RXN-7694_reverse,rule0002,rule0754
RXN-13155,rule0052
